question,possible_answers,subject,predicate,object,object_surfaceform,triple,sub_pred,subject_label,predicate_label,object_label
What is the capital of Tattnall County?,"[""Reidsville, Georgia"", ""Reidsville""]",Q505310,P36,Q1311821,Reidsville,Q505310 P36 Q1311821,Q505310 P36,Tattnall County,capital,Reidsville
What industry is the big-box store in?,"[""retail"", ""retail industry"", ""retailer"", ""retail sales"", ""retailing"", ""retail trade""]",Q16766413,P452,Q126793,retailer,Q16766413 P452 Q126793,Q16766413 P452,big-box store,industry,retail
Who is the author of the Inheritance Cycle tetralogy?,"[""Christopher Paolini"", ""Christopher James Paolini""]",Q2699024,P50,Q93620,Christopher Paolini,Q2699024 P50 Q93620,Q2699024 P50,Inheritance Cycle tetralogy,author,Christopher Paolini
What type of cuisine is miso used in as a garnish for dishes such as roasted eggplant?,"[""Japanese cuisine"", ""Japanese food"", ""cuisine of Japan""]",Q235169,P2012,Q234138,Japanese cuisine,Q235169 P2012 Q234138,Q235169 P2012,miso,cuisine,Japanese cuisine
What language is widely used in the Karas Region?,"[""Khoekhoe language"", ""afr"", ""Nama language"", ""ng"", ""Afrikaans language"", ""hz"", ""African language"", ""Ndonga"", ""Afrikaans"", ""Khoekhoe"", ""Herero"", ""Herero language"", ""Nama"", ""af"", ""Ndonga dialect"", ""Khoekhoegowab language"", ""N\u00e0m\u00e1 language""]",Q573467,P2936,Q13301,Nama,Q573467 P2936 Q13301,Q573467 P2936,Karas Region,language used,Khoekhoe
What is the capital of Điện Biên?,"[""Dien Bien Phu"", ""\u0110i\u1ec7n Bi\u00ean Ph\u1ee7""]",Q36955,P36,Q36027,Điện Biên Phủ,Q36955 P36 Q36027,Q36955 P36,Điện Biên,capital,Điện Biên Phủ
What form of adult entertainment does a strip club provide?,"[""erotic dancing"", ""striptease""]",Q6586445,P452,Q152213,striptease,Q6586445 P452 Q152213,Q6586445 P452,strip club,industry,striptease
What is the capital city of Pehuajó Partido?,"[""Pehuaj\u00f3"", ""Pehuajo""]",Q2345020,P36,Q3319248,Pehuajó,Q2345020 P36 Q3319248,Q2345020 P36,Pehuajó Partido,capital,Pehuajó
What is the capital of Kocēni Parish?,"[""Koc\u0113ni""]",Q11113584,P36,Q987208,Kocēni,Q11113584 P36 Q987208,Q11113584 P36,Kocēni Parish,capital,Kocēni
Who is Luca Sacchi's aunt?,"[""Mara"", ""Massimo Sacchi"", ""Mara Sacchi""]",Q3265006,P1038,Q20985729,Mara,Q3265006 P1038 Q20985729,Q3265006 P1038,Luca Sacchi,relative,Mara Sacchi
Who was Sextus Cocceius Vibianus a relative of?,"[""Sextus Cocceius Severianus Honorinus"", ""Sextus Cocceius Severianus"", ""Anicius Faustus Paulinus"", ""Quintus Anicius Faustus Paulinus""]",Q11153392,P1038,Q7458637,Sextus Cocceius Severianus,Q11153392 P1038 Q7458637,Q11153392 P1038,Sextus Cocceius Vibianus,relative,Sextus Cocceius Severianus
