question,possible_answers,id,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop
What is Henry Feilden's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4382392,Henry Feilden,occupation,politician,1925450,22,2834605,"[""Henry Master Feilden""]","[""political leader"",""political figure"",""polit."",""pol""]",http://www.wikidata.org/entity/Q5725578,http://www.wikidata.org/entity/Q82955,Henry Feilden (Conservative politician),Politician,58,25692
What is Herlyn Espinal's occupation?,"[""journalist"", ""journo"", ""journalists""]",1223902,Herlyn Espinal,occupation,journalist,544481,22,663400,"[""Herlyn Iv\u00e1n Espinal Mart\u00ednez""]","[""journo"",""journalists""]",http://www.wikidata.org/entity/Q17412700,http://www.wikidata.org/entity/Q1930187,Herlyn Espinal,Journalist,88,24952
What is Edward Corser's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",3994636,Edward Corser,occupation,politician,1745623,22,2834605,"[""Edward Bernard Cresset Corser""]","[""political leader"",""political figure"",""polit."",""pol""]",http://www.wikidata.org/entity/Q5342416,http://www.wikidata.org/entity/Q82955,Edward Corser,Politician,74,25692
"What is the occupation of John Finlay, the Canadian public figure?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4711830,John Finlay,occupation,politician,2073748,22,2834605,[],"[""political leader"",""political figure"",""polit."",""pol""]",http://www.wikidata.org/entity/Q6233155,http://www.wikidata.org/entity/Q82955,John Finlay (Canadian politician),Politician,48,25692
What is Bruce McDaniel's occupation?,"[""composer""]",3583128,Bruce McDaniel,occupation,composer,1549859,22,1189033,[],[],http://www.wikidata.org/entity/Q4977981,http://www.wikidata.org/entity/Q36834,Bruce McDaniel,Composer,91,28389
What is Edwin Wallock's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",2303897,Edwin Wallock,occupation,actor,1005161,22,1114174,[],"[""actress"",""actors"",""actresses""]",http://www.wikidata.org/entity/Q3048825,http://www.wikidata.org/entity/Q33999,Edwin Wallock,Actor,68,81374
What is Matthew McKay's profession?,"[""dentist"", ""dentists"", ""dental surgeon""]",5120341,Matthew McKay,occupation,dentist,2263666,22,920325,[],"[""dentists"",""dental surgeon""]",http://www.wikidata.org/entity/Q6790954,http://www.wikidata.org/entity/Q27349,Matthew McKay (politician),Dentist,63,16672
What is Dominick Bellizzi's occupation?,"[""jockey""]",3931528,Dominick Bellizzi,occupation,jockey,1717158,22,2845473,[],[],http://www.wikidata.org/entity/Q5290903,http://www.wikidata.org/entity/Q846750,Dominick Bellizzi,Jockey,97,7581
What is Ole Krarup's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",6539068,Ole Krarup,occupation,politician,2933988,22,2834605,[],"[""political leader"",""political figure"",""polit."",""pol""]",http://www.wikidata.org/entity/Q981321,http://www.wikidata.org/entity/Q82955,Ole Krarup,Politician,61,25692
What is Antonio Álvarez Alonso's occupation?,"[""composer"", ""pianist""]",1772720,Antonio Álvarez Alonso,occupation,composer,783955,22,1189033,"[""Antonio Alvarez Alonso""]",[],http://www.wikidata.org/entity/Q2285330,http://www.wikidata.org/entity/Q36834,Antonio Álvarez Alonso,Composer,75,28389
What is Boutheina Jabnoun's occupation?,"[""journalist"", ""journo"", ""journalists""]",3553522,Boutheina Jabnoun,occupation,journalist,1536079,22,663400,"[""Boutheina Jabnoun Marai""]","[""journo"",""journalists""]",http://www.wikidata.org/entity/Q4950442,http://www.wikidata.org/entity/Q1930187,Boutheina Jabnoun Marai,Journalist,57,24952
What is Derek Wheatley's occupation?,"[""novelist"", ""barrister"", ""barrister-at-law"", ""Bar-at-law""]",3901091,Derek Wheatley,occupation,novelist,1702523,22,2202669,[],[],http://www.wikidata.org/entity/Q5262453,http://www.wikidata.org/entity/Q6625963,Derek Wheatley,Novelist,43,11157
What is Herman A. Barnett's occupation?,"[""surgeon"", ""surgeons""]",837389,Herman A. Barnett,occupation,surgeon,357213,22,2662279,[],"[""surgeons""]",http://www.wikidata.org/entity/Q16007345,http://www.wikidata.org/entity/Q774306,Herman A. Barnett,Surgeon,86,12671
